Ort,Gesamtzahl
Ahlen,3453
Beckum,1452
Beelen,241
Drensteinfurt,360
Ennigerloh,777
Everswinkel,232
Oelde,1563
Ostbevern,393
Sassenberg,486
Sendenhorst,387
Telgte,626
Wadersloh,542
Warendorf,1131
GESAMT,11643
