Ort,Gesamtzahl
Ahlen,3937
Beckum,1704
Beelen,287
Drensteinfurt,393
Ennigerloh,873
Everswinkel,272
Oelde,1729
Ostbevern,406
Sassenberg,527
Sendenhorst,432
Telgte,739
Wadersloh,602
Warendorf,1356
GESAMT,13257
