Ort,Gesamtzahl
Ahlen,4985
Beckum,2505
Beelen,498
Drensteinfurt,639
Ennigerloh,1232
Everswinkel,508
Oelde,2264
Ostbevern,663
Sassenberg,975
Sendenhorst,630
Telgte,1069
Wadersloh,941
Warendorf,2306
GESAMT,19215
