,16.07.2021
Anröchte,257
Lippetal,290
Möhnesee,248
Geseke,701
Werl,1235
Warstein,521
Ense,327
Rüthen,243
Lippstadt,2451
Bad Sassendorf,268
Welver,255
Wickede,340
Soest,1195
Erwitte,476
