,17.01.2022
Anröchte,634
Lippetal,656
Möhnesee,519
Geseke,1425
Werl,2242
Warstein,1105
Ense,739
Rüthen,449
Lippstadt,5433
Bad Sassendorf,542
Welver,501
Wickede,754
Soest,2882
Erwitte,853
