,09.09.2021
Anröchte,286
Lippetal,299
Möhnesee,280
Geseke,750
Werl,1371
Warstein,576
Ense,342
Rüthen,256
Lippstadt,2800
Bad Sassendorf,290
Welver,269
Wickede,394
Soest,1361
Erwitte,513
