,17.09.2021
Anröchte,286
Lippetal,300
Möhnesee,282
Geseke,760
Werl,1393
Warstein,583
Ense,348
Rüthen,259
Lippstadt,2849
Bad Sassendorf,293
Welver,271
Wickede,400
Soest,1385
Erwitte,521
