,23.09.2021
Anröchte,293
Lippetal,300
Möhnesee,285
Geseke,762
Werl,1403
Warstein,588
Ense,352
Rüthen,261
Lippstadt,2909
Bad Sassendorf,296
Welver,273
Wickede,411
Soest,1409
Erwitte,525
