,06.08.2021
Anröchte,258
Lippetal,293
Möhnesee,249
Geseke,717
Werl,1272
Warstein,532
Ense,328
Rüthen,245
Lippstadt,2484
Bad Sassendorf,269
Welver,255
Wickede,352
Soest,1203
Erwitte,480
