,12.01.2022
Anröchte,606
Lippetal,628
Möhnesee,486
Geseke,1387
Werl,2161
Warstein,1057
Ense,704
Rüthen,432
Lippstadt,5261
Bad Sassendorf,527
Welver,468
Wickede,734
Soest,2791
Erwitte,817
