,02.02.2022
Anröchte,828
Lippetal,915
Möhnesee,665
Geseke,2015
Werl,2912
Warstein,1763
Ense,967
Rüthen,652
Lippstadt,7359
Bad Sassendorf,719
Welver,767
Wickede,982
Soest,3830
Erwitte,1170
