,06.09.2021
Anröchte,283
Lippetal,299
Möhnesee,279
Geseke,745
Werl,1362
Warstein,572
Ense,340
Rüthen,253
Lippstadt,2754
Bad Sassendorf,286
Welver,268
Wickede,390
Soest,1343
Erwitte,507
