,22.09.2021
Anröchte,291
Lippetal,300
Möhnesee,285
Geseke,761
Werl,1400
Warstein,587
Ense,351
Rüthen,260
Lippstadt,2897
Bad Sassendorf,296
Welver,272
Wickede,402
Soest,1405
Erwitte,525
