,04.11.2021
Anröchte,334
Lippetal,342
Möhnesee,334
Geseke,863
Werl,1486
Warstein,706
Ense,386
Rüthen,284
Lippstadt,3162
Bad Sassendorf,331
Welver,291
Wickede,489
Soest,1586
Erwitte,556
