,30.08.2021
Anröchte,277
Lippetal,299
Möhnesee,272
Geseke,738
Werl,1339
Warstein,563
Ense,338
Rüthen,253
Lippstadt,2662
Bad Sassendorf,278
Welver,267
Wickede,381
Soest,1308
Erwitte,502
