,21.09.2021
Anröchte,291
Lippetal,300
Möhnesee,284
Geseke,761
Werl,1396
Warstein,585
Ense,350
Rüthen,260
Lippstadt,2890
Bad Sassendorf,295
Welver,272
Wickede,402
Soest,1395
Erwitte,523
