,last7,last14,mix,Gemeinde
Anröchte,10,12,10.0,Anröchte
Lippetal,3,3,3.0,Lippetal
Möhnesee,8,9,8.0,Möhnesee
Geseke,6,8,6.0,Geseke
Werl,18,35,18.0,Werl
Warstein,11,17,11.0,Warstein
Ense,6,6,6.0,Ense
Rüthen,3,4,3.0,Rüthen
Lippstadt,72,95,72.0,Lippstadt
Bad Sassendorf,4,5,4.0,Bad Sassendorf
Welver,1,4,1.0,Welver
Wickede (Ruhr),4,6,4.0,Wickede (Ruhr)
Soest,16,40,16.0,Soest
Erwitte,9,11,9.0,Erwitte
