,01.12.2021
Anröchte,408
Lippetal,421
Möhnesee,376
Geseke,1038
Werl,1675
Warstein,793
Ense,425
Rüthen,339
Lippstadt,3689
Bad Sassendorf,400
Welver,320
Wickede,538
Soest,1881
Erwitte,625
