,14.10.2021
Anröchte,308
Lippetal,309
Möhnesee,295
Geseke,789
Werl,1438
Warstein,602
Ense,371
Rüthen,263
Lippstadt,3006
Bad Sassendorf,316
Welver,284
Wickede,459
Soest,1481
Erwitte,531
