,29.12.2021
Anröchte,547
Lippetal,536
Möhnesee,447
Geseke,1308
Werl,2035
Warstein,948
Ense,581
Rüthen,410
Lippstadt,4812
Bad Sassendorf,495
Welver,410
Wickede,672
Soest,2560
Erwitte,757
