,13.10.2021
Anröchte,308
Lippetal,309
Möhnesee,295
Geseke,789
Werl,1436
Warstein,601
Ense,371
Rüthen,263
Lippstadt,3000
Bad Sassendorf,315
Welver,283
Wickede,457
Soest,1480
Erwitte,530
