,05.11.2021
Anröchte,335
Lippetal,348
Möhnesee,334
Geseke,870
Werl,1495
Warstein,711
Ense,387
Rüthen,286
Lippstadt,3187
Bad Sassendorf,332
Welver,291
Wickede,490
Soest,1592
Erwitte,559
