,02.11.2021
Anröchte,331
Lippetal,329
Möhnesee,323
Geseke,844
Werl,1477
Warstein,697
Ense,383
Rüthen,284
Lippstadt,3139
Bad Sassendorf,330
Welver,290
Wickede,485
Soest,1569
Erwitte,551
