,04.08.2021
Anröchte,258
Lippetal,292
Möhnesee,249
Geseke,717
Werl,1269
Warstein,525
Ense,328
Rüthen,245
Lippstadt,2476
Bad Sassendorf,269
Welver,255
Wickede,352
Soest,1199
Erwitte,480
