,23.11.2021
Anröchte,377
Lippetal,392
Möhnesee,363
Geseke,971
Werl,1606
Warstein,771
Ense,407
Rüthen,314
Lippstadt,3471
Bad Sassendorf,374
Welver,311
Wickede,508
Soest,1746
Erwitte,602
