,25.10.2021
Anröchte,321
Lippetal,314
Möhnesee,301
Geseke,811
Werl,1450
Warstein,667
Ense,381
Rüthen,270
Lippstadt,3090
Bad Sassendorf,318
Welver,288
Wickede,466
Soest,1529
Erwitte,542
