,30.11.2021
Anröchte,400
Lippetal,417
Möhnesee,375
Geseke,1035
Werl,1661
Warstein,788
Ense,424
Rüthen,336
Lippstadt,3657
Bad Sassendorf,393
Welver,319
Wickede,533
Soest,1832
Erwitte,622
