,16.08.2021
Anröchte,261
Lippetal,293
Möhnesee,252
Geseke,721
Werl,1294
Warstein,542
Ense,330
Rüthen,246
Lippstadt,2521
Bad Sassendorf,273
Welver,258
Wickede,357
Soest,1230
Erwitte,483
