,12.08.2021
Anröchte,259
Lippetal,293
Möhnesee,249
Geseke,718
Werl,1287
Warstein,538
Ense,328
Rüthen,246
Lippstadt,2504
Bad Sassendorf,270
Welver,258
Wickede,354
Soest,1225
Erwitte,481
