,26.08.2021
Anröchte,271
Lippetal,296
Möhnesee,271
Geseke,729
Werl,1323
Warstein,558
Ense,335
Rüthen,251
Lippstadt,2640
Bad Sassendorf,275
Welver,263
Wickede,365
Soest,1279
Erwitte,500
