,26.11.2021
Anröchte,395
Lippetal,406
Möhnesee,369
Geseke,1001
Werl,1633
Warstein,783
Ense,416
Rüthen,331
Lippstadt,3560
Bad Sassendorf,388
Welver,317
Wickede,523
Soest,1802
Erwitte,610
