,09.08.2021
Anröchte,258
Lippetal,293
Möhnesee,249
Geseke,717
Werl,1283
Warstein,532
Ense,328
Rüthen,246
Lippstadt,2488
Bad Sassendorf,269
Welver,255
Wickede,352
Soest,1212
Erwitte,480
