,29.09.2021
Anröchte,302
Lippetal,302
Möhnesee,286
Geseke,764
Werl,1409
Warstein,593
Ense,363
Rüthen,262
Lippstadt,2944
Bad Sassendorf,297
Welver,275
Wickede,419
Soest,1422
Erwitte,527
