,03.02.2022
Anröchte,849
Lippetal,937
Möhnesee,678
Geseke,2168
Werl,2984
Warstein,1844
Ense,1003
Rüthen,683
Lippstadt,7745
Bad Sassendorf,740
Welver,790
Wickede,1011
Soest,3950
Erwitte,1237
