,07.02.2022
Anröchte,913
Lippetal,1014
Möhnesee,735
Geseke,2439
Werl,3262
Warstein,2017
Ense,1079
Rüthen,754
Lippstadt,8400
Bad Sassendorf,813
Welver,855
Wickede,1073
Soest,4270
Erwitte,1401
