,19.01.2022
Anröchte,649
Lippetal,666
Möhnesee,523
Geseke,1447
Werl,2279
Warstein,1119
Ense,745
Rüthen,455
Lippstadt,5521
Bad Sassendorf,549
Welver,506
Wickede,769
Soest,2917
Erwitte,866
