,23.12.2021
Anröchte,532
Lippetal,519
Möhnesee,441
Geseke,1286
Werl,2006
Warstein,935
Ense,551
Rüthen,402
Lippstadt,4688
Bad Sassendorf,483
Welver,406
Wickede,661
Soest,2478
Erwitte,745
