,11.10.2021
Anröchte,305
Lippetal,306
Möhnesee,295
Geseke,786
Werl,1431
Warstein,601
Ense,370
Rüthen,263
Lippstadt,2995
Bad Sassendorf,315
Welver,280
Wickede,453
Soest,1472
Erwitte,530
