,06.01.2022
Anröchte,576
Lippetal,595
Möhnesee,468
Geseke,1344
Werl,2102
Warstein,988
Ense,667
Rüthen,418
Lippstadt,5067
Bad Sassendorf,514
Welver,450
Wickede,696
Soest,2701
Erwitte,784
