,09.07.2021
Anröchte,257
Lippetal,290
Möhnesee,247
Geseke,698
Werl,1232
Warstein,519
Ense,325
Rüthen,242
Lippstadt,2448
Bad Sassendorf,263
Welver,253
Wickede,340
Soest,1190
Erwitte,476
