,03.12.2021
Anröchte,413
Lippetal,435
Möhnesee,383
Geseke,1074
Werl,1721
Warstein,803
Ense,440
Rüthen,343
Lippstadt,3750
Bad Sassendorf,414
Welver,334
Wickede,562
Soest,1944
Erwitte,629
