,20.12.2021
Anröchte,508
Lippetal,505
Möhnesee,431
Geseke,1247
Werl,1971
Warstein,917
Ense,533
Rüthen,394
Lippstadt,4487
Bad Sassendorf,470
Welver,389
Wickede,645
Soest,2408
Erwitte,723
