,28.07.2021
Anröchte,257
Lippetal,290
Möhnesee,248
Geseke,704
Werl,1251
Warstein,523
Ense,327
Rüthen,245
Lippstadt,2464
Bad Sassendorf,268
Welver,255
Wickede,350
Soest,1197
Erwitte,477
