,01.09.2021
Anröchte,277
Lippetal,299
Möhnesee,272
Geseke,741
Werl,1342
Warstein,565
Ense,338
Rüthen,253
Lippstadt,2681
Bad Sassendorf,282
Welver,267
Wickede,383
Soest,1317
Erwitte,504
