,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,38
1,85395,Attenkirchen,32
2,84072,Au i.d.Hallertau,111
3,85386,Eching – Oberbayern,115
4,85777,Fahrenzhausen,71
5,85356,Freising,333
6,85408,Gammelsdorf,8
7,85410,Haag a.d.Amper,22
8,85399,Hallbergmoos,98
9,85411,Hohenkammer,13
10,85413,Hörgertshausen,27
11,85414,Kirchdorf a.d.Amper,39
12,85402,Kranzberg,104
13,85416,Langenbach,19
14,85417,Marzling,29
15,85419,Mauern,30
16,85368,Moosburg a.d.Isar,159
17,85405,Nandlstadt,46
18,85376,Neufahrn b.Freising,170
19,85307,Paunzhausen,18
20,84104,Rudelzhausen,37
21,85368,Wang,27
22,85395,Wolfersdorf,40
23,85406,Zolling,51
