,Gemeinde/Stadt,Pos in Qua
0,Allershausen,0.0
1,Attenkirchen,0.0
2,Au i.d.Hallertau,0.0
3,Eching – Oberbayern,1.0
4,Fahrenzhausen,1.0
5,Freising,20.0
6,Gammelsdorf,0.0
7,Haag a.d.Amper,0.0
8,Hallbergmoos,3.0
9,Hohenkammer,0.0
10,Hörgertshausen,0.0
11,Kirchdorf a.d.Amper,0.0
12,Kranzberg,0.0
13,Langenbach,0.0
14,Marzling,0.0
15,Mauern,0.0
16,Moosburg a.d.Isar,1.0
17,Nandlstadt,0.0
18,Neufahrn b.Freising,1.0
19,Paunzhausen,0.0
20,Rudelzhausen,1.0
21,Wang,0.0
22,Wolfersdorf,0.0
23,Zolling,2.0
