,Gemeinde/Stadt,Pos in Qua
0,Allershausen,3
1,Attenkirchen,0
2,Au i.d.Hallertau,2
3,Eching – Oberbayern,7
4,Fahrenzhausen,1
5,Freising,26
6,Gammelsdorf,0
7,Haag a.d.Amper,0
8,Hallbergmoos,5
9,Hohenkammer,1
10,Hörgertshausen,0
11,Kirchdorf a.d.Amper,0
12,Kranzberg,2
13,Langenbach,1
14,Marzling,1
15,Mauern,1
16,Moosburg a.d.Isar,12
17,Nandlstadt,0
18,Neufahrn b.Freising,19
19,Paunzhausen,1
20,Rudelzhausen,5
21,Wang,7
22,Wolfersdorf,0
23,Zolling,1
