,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,37
1,85395,Attenkirchen,36
2,84072,Au i.d.Hallertau,93
3,85386,Eching – Oberbayern,142
4,85777,Fahrenzhausen,56
5,85356,Freising,337
6,85408,Gammelsdorf,10
7,85410,Haag a.d.Amper,24
8,85399,Hallbergmoos,87
9,85411,Hohenkammer,13
10,85413,Hörgertshausen,19
11,85414,Kirchdorf a.d.Amper,40
12,85402,Kranzberg,75
13,85416,Langenbach,23
14,85417,Marzling,40
15,85419,Mauern,22
16,85368,Moosburg a.d.Isar,163
17,85405,Nandlstadt,36
18,85376,Neufahrn b.Freising,155
19,85307,Paunzhausen,15
20,84104,Rudelzhausen,37
21,85368,Wang,21
22,85395,Wolfersdorf,32
23,85406,Zolling,44
