,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,11
1,85395,Attenkirchen,1
2,84072,Au i.d.Hallertau,6
3,85386,Eching – Oberbayern,28
4,85777,Fahrenzhausen,4
5,85356,Freising,83
6,85408,Gammelsdorf,1
7,85410,Haag a.d.Amper,3
8,85399,Hallbergmoos,24
9,85411,Hohenkammer,2
10,85413,Hörgertshausen,1
11,85414,Kirchdorf a.d.Amper,3
12,85402,Kranzberg,4
13,85416,Langenbach,6
14,85417,Marzling,5
15,85419,Mauern,5
16,85368,Moosburg a.d.Isar,47
17,85405,Nandlstadt,10
18,85376,Neufahrn b.Freising,38
19,85307,Paunzhausen,2
20,84104,Rudelzhausen,3
21,85368,Wang,4
22,85395,Wolfersdorf,5
23,85406,Zolling,4
