,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,41
1,85395,Attenkirchen,46
2,84072,Au i.d.Hallertau,106
3,85386,Eching – Oberbayern,107
4,85777,Fahrenzhausen,86
5,85356,Freising,351
6,85408,Gammelsdorf,25
7,85410,Haag a.d.Amper,20
8,85399,Hallbergmoos,153
9,85411,Hohenkammer,14
10,85413,Hörgertshausen,33
11,85414,Kirchdorf a.d.Amper,29
12,85402,Kranzberg,79
13,85416,Langenbach,25
14,85417,Marzling,27
15,85419,Mauern,47
16,85368,Moosburg a.d.Isar,173
17,85405,Nandlstadt,64
18,85376,Neufahrn b.Freising,231
19,85307,Paunzhausen,16
20,84104,Rudelzhausen,40
21,85368,Wang,31
22,85395,Wolfersdorf,52
23,85406,Zolling,52
