,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,42
1,85395,Attenkirchen,15
2,84072,Au i.d.Hallertau,67
3,85386,Eching – Oberbayern,147
4,85777,Fahrenzhausen,42
5,85356,Freising,248
6,85408,Gammelsdorf,14
7,85410,Haag a.d.Amper,13
8,85399,Hallbergmoos,117
9,85411,Hohenkammer,17
10,85413,Hörgertshausen,30
11,85414,Kirchdorf a.d.Amper,14
12,85402,Kranzberg,24
13,85416,Langenbach,25
14,85417,Marzling,24
15,85419,Mauern,23
16,85368,Moosburg a.d.Isar,100
17,85405,Nandlstadt,52
18,85376,Neufahrn b.Freising,171
19,85307,Paunzhausen,11
20,84104,Rudelzhausen,30
21,85368,Wang,20
22,85395,Wolfersdorf,25
23,85406,Zolling,50
