,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,13
1,85395,Attenkirchen,1
2,84072,Au i.d.Hallertau,25
3,85386,Eching – Oberbayern,47
4,85777,Fahrenzhausen,10
5,85356,Freising,141
6,85408,Gammelsdorf,12
7,85410,Haag a.d.Amper,6
8,85399,Hallbergmoos,34
9,85411,Hohenkammer,29
10,85413,Hörgertshausen,2
11,85414,Kirchdorf a.d.Amper,8
12,85402,Kranzberg,8
13,85416,Langenbach,15
14,85417,Marzling,8
15,85419,Mauern,12
16,85368,Moosburg a.d.Isar,54
17,85405,Nandlstadt,16
18,85376,Neufahrn b.Freising,65
19,85307,Paunzhausen,5
20,84104,Rudelzhausen,11
21,85368,Wang,4
22,85395,Wolfersdorf,0
23,85406,Zolling,3
