,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,29
1,85395,Attenkirchen,40
2,84072,Au i.d.Hallertau,90
3,85386,Eching – Oberbayern,126
4,85777,Fahrenzhausen,53
5,85356,Freising,317
6,85408,Gammelsdorf,7
7,85410,Haag a.d.Amper,20
8,85399,Hallbergmoos,89
9,85411,Hohenkammer,10
10,85413,Hörgertshausen,17
11,85414,Kirchdorf a.d.Amper,40
12,85402,Kranzberg,72
13,85416,Langenbach,23
14,85417,Marzling,40
15,85419,Mauern,18
16,85368,Moosburg a.d.Isar,161
17,85405,Nandlstadt,37
18,85376,Neufahrn b.Freising,154
19,85307,Paunzhausen,12
20,84104,Rudelzhausen,37
21,85368,Wang,16
22,85395,Wolfersdorf,31
23,85406,Zolling,38
