,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,39
1,85395,Attenkirchen,26
2,84072,Au i.d.Hallertau,77
3,85386,Eching – Oberbayern,150
4,85777,Fahrenzhausen,58
5,85356,Freising,253
6,85408,Gammelsdorf,19
7,85410,Haag a.d.Amper,16
8,85399,Hallbergmoos,161
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,28
11,85414,Kirchdorf a.d.Amper,17
12,85402,Kranzberg,26
13,85416,Langenbach,29
14,85417,Marzling,22
15,85419,Mauern,24
16,85368,Moosburg a.d.Isar,131
17,85405,Nandlstadt,65
18,85376,Neufahrn b.Freising,186
19,85307,Paunzhausen,12
20,84104,Rudelzhausen,33
21,85368,Wang,29
22,85395,Wolfersdorf,41
23,85406,Zolling,49
