,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,28
1,85395,Attenkirchen,8
2,84072,Au i.d.Hallertau,42
3,85386,Eching – Oberbayern,87
4,85777,Fahrenzhausen,20
5,85356,Freising,165
6,85408,Gammelsdorf,4
7,85410,Haag a.d.Amper,2
8,85399,Hallbergmoos,65
9,85411,Hohenkammer,11
10,85413,Hörgertshausen,14
11,85414,Kirchdorf a.d.Amper,13
12,85402,Kranzberg,12
13,85416,Langenbach,10
14,85417,Marzling,16
15,85419,Mauern,13
16,85368,Moosburg a.d.Isar,80
17,85405,Nandlstadt,24
18,85376,Neufahrn b.Freising,159
19,85307,Paunzhausen,7
20,84104,Rudelzhausen,33
21,85368,Wang,7
22,85395,Wolfersdorf,11
23,85406,Zolling,37
