,Gemeinde/Stadt,Pos in Qua
0,Allershausen,7
1,Attenkirchen,1
2,Au i.d.Hallertau,3
3,Eching – Oberbayern,14
4,Fahrenzhausen,1
5,Freising,36
6,Gammelsdorf,0
7,Haag a.d.Amper,3
8,Hallbergmoos,11
9,Hohenkammer,0
10,Hörgertshausen,0
11,Kirchdorf a.d.Amper,1
12,Kranzberg,3
13,Langenbach,3
14,Marzling,3
15,Mauern,2
16,Moosburg a.d.Isar,15
17,Nandlstadt,1
18,Neufahrn b.Freising,14
19,Paunzhausen,0
20,Rudelzhausen,12
21,Wang,0
22,Wolfersdorf,1
23,Zolling,2
