,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,15
1,85395,Attenkirchen,13
2,84072,Au i.d.Hallertau,30
3,85386,Eching – Oberbayern,52
4,85777,Fahrenzhausen,10
5,85356,Freising,160
6,85408,Gammelsdorf,3
7,85410,Haag a.d.Amper,6
8,85399,Hallbergmoos,27
9,85411,Hohenkammer,4
10,85413,Hörgertshausen,3
11,85414,Kirchdorf a.d.Amper,19
12,85402,Kranzberg,12
13,85416,Langenbach,13
14,85417,Marzling,11
15,85419,Mauern,3
16,85368,Moosburg a.d.Isar,70
17,85405,Nandlstadt,10
18,85376,Neufahrn b.Freising,100
19,85307,Paunzhausen,6
20,84104,Rudelzhausen,12
21,85368,Wang,4
22,85395,Wolfersdorf,12
23,85406,Zolling,19
