,Gemeinde/Stadt,Pos in Qua
0,Allershausen,6
1,Attenkirchen,1
2,Au i.d.Hallertau,4
3,Eching – Oberbayern,10
4,Fahrenzhausen,0
5,Freising,32
6,Gammelsdorf,0
7,Haag a.d.Amper,2
8,Hallbergmoos,10
9,Hohenkammer,0
10,Hörgertshausen,0
11,Kirchdorf a.d.Amper,0
12,Kranzberg,3
13,Langenbach,2
14,Marzling,2
15,Mauern,2
16,Moosburg a.d.Isar,14
17,Nandlstadt,0
18,Neufahrn b.Freising,17
19,Paunzhausen,1
20,Rudelzhausen,9
21,Wang,1
22,Wolfersdorf,1
23,Zolling,2
