,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,43
1,85395,Attenkirchen,37
2,84072,Au i.d.Hallertau,113
3,85386,Eching – Oberbayern,113
4,85777,Fahrenzhausen,79
5,85356,Freising,369
6,85408,Gammelsdorf,18
7,85410,Haag a.d.Amper,21
8,85399,Hallbergmoos,116
9,85411,Hohenkammer,16
10,85413,Hörgertshausen,28
11,85414,Kirchdorf a.d.Amper,32
12,85402,Kranzberg,104
13,85416,Langenbach,21
14,85417,Marzling,32
15,85419,Mauern,40
16,85368,Moosburg a.d.Isar,166
17,85405,Nandlstadt,52
18,85376,Neufahrn b.Freising,202
19,85307,Paunzhausen,17
20,84104,Rudelzhausen,39
21,85368,Wang,31
22,85395,Wolfersdorf,46
23,85406,Zolling,66
