,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,41
1,85395,Attenkirchen,34
2,84072,Au i.d.Hallertau,85
3,85386,Eching – Oberbayern,145
4,85777,Fahrenzhausen,65
5,85356,Freising,270
6,85408,Gammelsdorf,20
7,85410,Haag a.d.Amper,17
8,85399,Hallbergmoos,168
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,28
11,85414,Kirchdorf a.d.Amper,17
12,85402,Kranzberg,36
13,85416,Langenbach,32
14,85417,Marzling,17
15,85419,Mauern,29
16,85368,Moosburg a.d.Isar,142
17,85405,Nandlstadt,64
18,85376,Neufahrn b.Freising,198
19,85307,Paunzhausen,12
20,84104,Rudelzhausen,31
21,85368,Wang,27
22,85395,Wolfersdorf,44
23,85406,Zolling,51
