,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,23
1,85395,Attenkirchen,1
2,84072,Au i.d.Hallertau,9
3,85386,Eching – Oberbayern,23
4,85777,Fahrenzhausen,16
5,85356,Freising,113
6,85408,Gammelsdorf,2
7,85410,Haag a.d.Amper,1
8,85399,Hallbergmoos,24
9,85411,Hohenkammer,4
10,85413,Hörgertshausen,1
11,85414,Kirchdorf a.d.Amper,4
12,85402,Kranzberg,13
13,85416,Langenbach,3
14,85417,Marzling,5
15,85419,Mauern,2
16,85368,Moosburg a.d.Isar,26
17,85405,Nandlstadt,7
18,85376,Neufahrn b.Freising,27
19,85307,Paunzhausen,3
20,84104,Rudelzhausen,3
21,85368,Wang,2
22,85395,Wolfersdorf,4
23,85406,Zolling,7
