,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,40
1,85395,Attenkirchen,39
2,84072,Au i.d.Hallertau,97
3,85386,Eching – Oberbayern,122
4,85777,Fahrenzhausen,78
5,85356,Freising,308
6,85408,Gammelsdorf,22
7,85410,Haag a.d.Amper,21
8,85399,Hallbergmoos,169
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,30
11,85414,Kirchdorf a.d.Amper,20
12,85402,Kranzberg,37
13,85416,Langenbach,31
14,85417,Marzling,20
15,85419,Mauern,36
16,85368,Moosburg a.d.Isar,162
17,85405,Nandlstadt,70
18,85376,Neufahrn b.Freising,228
19,85307,Paunzhausen,16
20,84104,Rudelzhausen,37
21,85368,Wang,31
22,85395,Wolfersdorf,52
23,85406,Zolling,52
