,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,42
1,85395,Attenkirchen,40
2,84072,Au i.d.Hallertau,115
3,85386,Eching – Oberbayern,114
4,85777,Fahrenzhausen,81
5,85356,Freising,359
6,85408,Gammelsdorf,14
7,85410,Haag a.d.Amper,23
8,85399,Hallbergmoos,119
9,85411,Hohenkammer,15
10,85413,Hörgertshausen,29
11,85414,Kirchdorf a.d.Amper,38
12,85402,Kranzberg,107
13,85416,Langenbach,21
14,85417,Marzling,32
15,85419,Mauern,35
16,85368,Moosburg a.d.Isar,169
17,85405,Nandlstadt,52
18,85376,Neufahrn b.Freising,191
19,85307,Paunzhausen,17
20,84104,Rudelzhausen,40
21,85368,Wang,30
22,85395,Wolfersdorf,43
23,85406,Zolling,61
