,Gemeinde/Stadt,Pos in Qua
0,Allershausen,9
1,Attenkirchen,3
2,Au i.d.Hallertau,17
3,Eching – Oberbayern,41
4,Fahrenzhausen,7
5,Freising,157
6,Gammelsdorf,6
7,Haag a.d.Amper,3
8,Hallbergmoos,29
9,Hohenkammer,8
10,Hörgertshausen,4
11,Kirchdorf a.d.Amper,7
12,Kranzberg,7
13,Langenbach,4
14,Marzling,7
15,Mauern,1
16,Moosburg a.d.Isar,50
17,Nandlstadt,8
18,Neufahrn b.Freising,41
19,Paunzhausen,2
20,Rudelzhausen,15
21,Wang,4
22,Wolfersdorf,3
23,Zolling,13
